date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:45	11202/11202	---M--	200	added ('OK')	image/png	etag:%22fe49c3aceef8e7d289065661fb53f3a4%22	https://mvc.mlcdn.com.br/magazinevoce/img/warranties/lu-header.png?1584647055	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/warranties/lu-header5ca0.png	(from https://mvc.mlcdn.com.br/magazinevoce/bundles/cssBase-637dd0e2533805cf269f.css)
16:03:46	4511/4511	---M--	200	added ('OK')	image/png	etag:%22b213a1a8f9b493b478abfb9baf33ca01%22	https://mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-protection.png?1584647055	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-protection5ca0.png	(from https://mvc.mlcdn.com.br/magazinevoce/bundles/cssBase-637dd0e2533805cf269f.css)
16:03:47	3627/3627	---M--	200	added ('OK')	image/png	etag:%222cd5c6621fc428c30837e86cabee1965%22	https://mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-warranty.png?1584647055	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-warranty5ca0.png	(from https://mvc.mlcdn.com.br/magazinevoce/bundles/cssBase-637dd0e2533805cf269f.css)
16:03:47	3997/3997	---M--	200	added ('OK')	image/png	etag:%227993cb54059a0db0e3bf6ebe4890af4a%22	https://mvc.mlcdn.com.br/magazinevoce/img/warranties/logo_troca-certa.png?1584647055	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/warranties/logo_troca-certa5ca0.png	(from https://mvc.mlcdn.com.br/magazinevoce/bundles/cssBase-637dd0e2533805cf269f.css)
16:03:47	669/669	---M--	200	added ('OK')	image/png	etag:%2276394e9ae5513c40b4ab9fa1cf3d0299%22	https://mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-check.png?1584647055	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-check5ca0.png	(from https://mvc.mlcdn.com.br/magazinevoce/bundles/cssBase-637dd0e2533805cf269f.css)
16:03:47	288/288	---M--	200	added ('OK')	image/png	etag:%2297337b98d1516d5a0a6e219056682677%22	https://mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-check-small.png?1584647055	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-check-small5ca0.png	(from https://mvc.mlcdn.com.br/magazinevoce/bundles/cssBase-637dd0e2533805cf269f.css)
16:03:47	298/298	---M--	200	added ('OK')	image/png	etag:%22b283238aa8855102179d6b71016fab92%22	https://mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-close.png?1584647055	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-close5ca0.png	(from https://mvc.mlcdn.com.br/magazinevoce/bundles/cssBase-637dd0e2533805cf269f.css)
16:03:48	595/595	---M--	200	added ('OK')	image/png	etag:%220cce19f635b15587bead3f7588703ddb%22	https://mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-star.png?1584647055	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-star5ca0.png	(from https://mvc.mlcdn.com.br/magazinevoce/bundles/cssBase-637dd0e2533805cf269f.css)
16:03:48	623/623	---M--	200	added ('OK')	image/png	etag:%225541c91d145519f9c46032e5cea45047%22	https://mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-pdf.png?1584647055	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-pdf5ca0.png	(from https://mvc.mlcdn.com.br/magazinevoce/bundles/cssBase-637dd0e2533805cf269f.css)
16:03:48	283/283	---M--	200	added ('OK')	image/png	etag:%220ffae92f64957d287616622ac7bcb7fe%22	https://mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-quotes.png?1584647055	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/warranties/icon-quotes5ca0.png	(from https://mvc.mlcdn.com.br/magazinevoce/bundles/cssBase-637dd0e2533805cf269f.css)
